SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,LS Match status,LS Match notes
TIL-JLTL-BPCK36008,Essential Collection — Utica Snow — 12x24 (Polished),JL Tile,JL Tile,BPCK36008,b5e3b47d-5591-469a-8837-623aa57bc913,jlttil---porcelain-utica-snow---bpck36008-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Utica Snow,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2X2 Square and Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK36008
TIL-JLTL-BPCK6008,Essential Collection — Utica Snow — 24x24 (Polished),JL Tile,JL Tile,BPCK6008,69d50929-06d5-472a-99f2-c59fed7b581b,jlttil---porcelain-utica-snow---bpck6008-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Utica Snow,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2X2 Square and Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK6008
TIL-JLTL-RD36320,Essential Collection — Royal Dianna Silver — 12x24 (Polished),JL Tile,JL Tile,RD36320,4352ba55-fe86-4ee1-abcf-6f924639e389,jlttil---porcelain-royal-dianna-silver---rd36320-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Royal Dianna Silver,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku RD36320
TIL-JLTL-RD60320,Essential Collection — Royal Dianna Silver — 24x24 (Polished),JL Tile,JL Tile,RD60320,1d46e1ab-0e26-43c4-80e3-5580c25660ac,jlttil---porcelain-royal-dianna-silver---rd60320-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Royal Dianna Silver,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku RD60320
TIL-JLTL-SP36P00T,Essential Collection — Pure White — 12x24 (Polished),JL Tile,JL Tile,SP36P00T,561771fe-a260-44ce-8e49-8dc85b5ef030,jlttil---essential---porcelain-pure-white---sp36poot-----12-x-24---8pcb---16sfb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Pure White,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.80,4.80,,2.16,,,Your cut order price: $2.52/sf | Skid price: $2.16/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku SP36POOT
TIL-JLTL-SP6P00T,Essential Collection — Pure White — 24x24 (Polished),JL Tile,JL Tile,SP6P00T,16b1cbd5-4f19-46b8-b560-8d15fb495188,jlttil---essential---porcelain-pure-white---spc6poot-----24-x-24---4pcb---16sfb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Pure White,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.80,4.80,,2.16,,,Your cut order price: $2.52/sf | Skid price: $2.16/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains. | LS sku spelling differs from the price-list code ('SP6P00T' vs live 'SPC6POOT') -- same product confirmed by collection/colour/size/handle; treated as a match, not a new product.",,,matched,matched,Matched LS sku SPC6POOT (spelling differs from price-list code 'SP6P00T')
TIL-JLTL-BPCK36009,Essential Collection — Staturio Vienna — 12x24 (Polished),JL Tile,JL Tile,BPCK36009,76cab8ec-fc91-46ea-bea5-7eb046066a20,jlttil---porcelain-statuario-vienna---bpck36009-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Staturio Vienna,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2X2 Square and Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK36009
TIL-JLTL-BPCK6009,Essential Collection — Staturio Vienna — 24x24 (Polished),JL Tile,JL Tile,BPCK6009,b8c40ef4-45e0-466d-a492-7b2efc52670b,jlttil---porcelain-statuario-vienna---bpck6009-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Staturio Vienna,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 2X2 Square and Strips | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK6009
TIL-JLTL-LF36808,Essential Collection — Super Pure Black (full body) — 12x24 (Polished),JL Tile,JL Tile,LF36808,f204faf6-3bd9-42bc-a99b-e45192d0e0ba,jlttil---porcelain-super-pure-black---lf36808-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Super Pure Black (full body),,,12,"24""",,,,,,Polished,,,,,,,,,,,3.69,5.69,,2.84,,,Your cut order price: $3.32/sf | Skid price: $2.84/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku LF36808
TIL-JLTL-LF6808,Essential Collection — Super Pure Black (full body) — 24x24 (Polished),JL Tile,JL Tile,LF6808,82f21088-cf46-4f11-94ea-d44407b1bf3e,jlttil---porcelain-super-pure-black---lf6808-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Super Pure Black (full body),,,24,"24""",,,,,,Polished,,,,,,,,,,,3.69,5.69,,2.84,,,Your cut order price: $3.32/sf | Skid price: $2.84/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku LF6808
TIL-JLTL-B360M0633,Essential Collection — Wasaga Sands — 12x24 (Polished),JL Tile,JL Tile,B360M0633,edc39a64-6a22-4833-90ad-999240dc65d7,jlttil---porcelain-wasaga-sands---b360m0633-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Wasaga Sands,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 3"" Hex matte | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku B360M0633
TIL-JLTL-B60M0633,Essential Collection — Wasaga Sands — 24x24 (Polished),JL Tile,JL Tile,B60M0633,2531d6ca-d026-49ac-8ef5-5adb97631648,jlttil---porcelain-wasaga-sands---b60m0633-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Wasaga Sands,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: 3"" Hex matte | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku B60M0633
TIL-JLTL-BPCK36011,Essential Collection — Landsdown Grey — 12x24 (Polished),JL Tile,JL Tile,BPCK36011,faad2eab-cefc-4f36-9f98-04621797865d,jlttil---porcelain-landsdown-grey---bpck36011-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Landsdown Grey,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK36011
TIL-JLTL-BPCK6011,Essential Collection — Landsdown Grey — 24x24 (Polished),JL Tile,JL Tile,BPCK6011,3714b952-8b09-4f93-8e2d-4e36ecad67c4,jlttil---porcelain-landsdown-grey---bpck6011-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Landsdown Grey,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK6011
TIL-JLTL-BPCK36012,Essential Collection — Timber Snow — 12x24 (Polished),JL Tile,JL Tile,BPCK36012,e271603b-6cb2-48ba-8246-1e04918c1147,jlttil---porcelain-timber-snow---bpck36012-----1224---8pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Timber Snow,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK36012
TIL-JLTL-BPCK6012,Essential Collection — Timber Snow — 24x24 (Polished),JL Tile,JL Tile,BPCK6012,d094992f-1954-48fa-85e1-61eebf4da57c,jlttil---porcelain-timber-snow---bpck6012-----2424---4pcb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Timber Snow,,,24,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,4,40,160,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK6012
TIL-JLTL-BPCK36062,Essential Collection — Bremen Fall — 12x24 (Polished),JL Tile,JL Tile,BPCK36062,ee164877-1e77-42cd-af00-aa01a421d41b,jlttil---essential---porcelain-bremen-fall---bpck36062-----12-x-24---8pcb---16sfb,Essential Collection,Flooring,Tile / Stone,Porcelain,,Bremen Fall,,,12,"24""",,,,,,Polished,,,,,,,,,,,2.22,4.22,,1.71,,,Your cut order price: $2.00/sf | Skid price: $1.71/sf,,,16,8,40,320,,TRUE,,,,,,,,"JL Tile is a new supplier; $/sf (regular dealer price) column taken as Cost/unit per default (explicitly labelled dealer price on the sheet, not escalated); Your cut order price / Skid price logged as volume tiers in Volume pricing notes, never used as cost. | Matching mosaic pattern available: Same colour as 24x48, BPCK1262 | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before -- same precedent as Canadian Standard 2026-09-03. Handle copied verbatim from the live LS record (not regenerated), including any non-alphanumeric characters it already contains.",,,matched,matched,Matched LS sku BPCK36062
