SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
ENG-GRAN-0014,"Grandeur 6.5"" HIC — Harvest (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b617662c4,GRND65NAHHARVEST,Artisan,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,6.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,20.25,,,,,TRUE,FALSE,,,,,,,SALE item. No regular (non-SALE) equivalent found in this price list -> Cost/unit set equal to SALE price per Sale rule 3 (placeholder).,,reck5zXnzUDH3rl90,matched
ENG-GRAN-0015,"Grandeur 6.5"" HIC — Mane (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b61a226dc,GRND65NAHMANE,Artisan,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,6.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,20.25,,,,,TRUE,FALSE,,,,,,,SALE item. No regular (non-SALE) equivalent found in this price list -> Cost/unit set equal to SALE price per Sale rule 3 (placeholder).,,recH1Px2N8IuzEkSt,matched
ENG-GRAN-0016,"Grandeur 6.5"" HIC — Northwest (ABCD)",Grandeur,Grandeur,,40a9301e-9c7a-41fc-be3d-d11d66ae7569,GRND65NAHNORTHWEST,Artisan,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,6.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,20.25,,,,,TRUE,FALSE,,,,,,,SALE item. No regular (non-SALE) equivalent found in this price list -> Cost/unit set equal to SALE price per Sale rule 3 (placeholder).,,recl8HeeCAyfimQy6,matched
ENG-GRAN-0017,"Grandeur 6.5"" HIC — Owl (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b61cf6d25,GRND65NAHOWL,Artisan,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,6.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,20.25,,,,,TRUE,FALSE,,,,,,,SALE item. No regular (non-SALE) equivalent found in this price list -> Cost/unit set equal to SALE price per Sale rule 3 (placeholder).,,recJAqKth3qlRIXfg,matched
ENG-GRAN-0018,"Grandeur 6"" MPL — Rum (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b62d22f3f,GRND6HMRUM,Legacy,Flooring,Engineered hardwood,Hardwood plywood,Hard Maple,,Character,,6,19.05,,2,,,Hand Scraped & Distressed,T&G,,,,,,,,,,2.99,3.99,5.89,,2.99,2026-09-30,,2026-09-01,Cowork,20.35,,,,Clearance,TRUE,FALSE,,,,,,,Collection marked 'while stock last' by supplier -> Stock status=Clearance. SALE item with no regular equivalent -> Cost/unit=SALE price per Sale rule 3.,,recmRcirQyNypbRhi,matched
ENG-GRAN-0020,"Grandeur 7.5"" AO — Honeycomb (AB)",Grandeur,Grandeur,,db9b4e9d-1752-42e7-a611-da00a9e2a415,GRND75AOHONEYCOMB,Ultra,Flooring,Engineered hardwood,Hardwood plywood,American Oak,,Select & Better,,7.5,19.05,,2,,,Light Wirebrushed,T&G,,,,,,,,,,4.59,5.59,7.19,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recMuTbvT66bH8EVB,matched
ENG-GRAN-0021,"Grandeur 7.5"" AO — Sandy Silk (AB)",Grandeur,Grandeur,,200259e8-37e1-4713-885d-bd9cd8a43d46,GRND75AOSANDYSILK,Ultra,Flooring,Engineered hardwood,Hardwood plywood,American Oak,,Select & Better,,7.5,19.05,,2,,,Light Wirebrushed,T&G,,,,,,,,,,4.59,5.59,7.19,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,rec57a5rh4YJaBS6O,matched
ENG-GRAN-0102,"Grandeur 7.5"" AO — Cascade (AB)",Grandeur,Grandeur,,c2b3e992-e3dd-426f-84b1-e32cb7f589c5,GRND75AOCASCADE,Ultra,Flooring,Engineered hardwood,Hardwood plywood,American Oak,,Select & Better,,7.5,19.05,,2,,,Light Wirebrushed,T&G,,,,,,,,,,4.59,5.59,7.19,,3.99,2026-09-30,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,SALE item. Regular Cost/unit ($4.59) pulled from Honeycomb/Sandy Silk in same collection/specs per Sale rule 1; SALE price $3.99 stored as Promo cost. Printed SALE row also showed $6.89 alongside $3.99 -- used regular MAP $7.19 instead; flagged for Albert to confirm whether $6.89 is a separate promo-period MAP.,,recs0E5o3qmkZtxl5,matched
ENG-GRAN-0022,"Grandeur 6"" EWO — Cocoa Beach (ABCD)",Grandeur,Grandeur,,67b2f64b-4ae5-490f-a64a-bd8129b7581d,GRND6EWOCOCOABEACH,Sunshine,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,4,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recemCWQAxqeZ7Ozt,matched
ENG-GRAN-0023,"Grandeur 6"" EWO — Clear Water (ABCD)",Grandeur,Grandeur,,1c035705-7d40-4c57-8dba-2f9f55ca585b,GRND6EWOCLEARWATER,Sunshine,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,4,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recvBL5tcUkb3d8BT,matched
ENG-GRAN-0024,"Grandeur 6"" EWO — Destin (ABCD)",Grandeur,Grandeur,,98e682df-4574-41ea-87c7-c9a3ca49f42a,GRND6EWODESTIN,Sunshine,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,4,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,rec7ZKRL8HeQX37If,matched
ENG-GRAN-0025,"Grandeur 6"" EWO — Key West (ABCD)",Grandeur,Grandeur,,6eb7ac42-78e3-4868-b687-ea155c8b0b86,GRND6EWOKEYWEST,Sunshine,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,4,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recowSCK0yTOmRldq,matched
ENG-GRAN-0026,"Grandeur 6"" EWO — Miami (ABCD)",Grandeur,Grandeur,,8463d341-bdd0-4248-8130-746c36055773,GRND6EWOMIAMI,Sunshine,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,4,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recrkstD4OPQqTQ3O,matched
ENG-GRAN-0027,"Grandeur 6"" EWO — Panama City (ABCD)",Grandeur,Grandeur,,65377fd3-16f6-4b03-a262-0d7ede025402,GRND6EWOPANAMACITY,Sunshine,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,6,19.05,,4,,,Smoked & Wirebrushed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,18.41,,,,,TRUE,FALSE,,,,,,,,,recjYP72KaXhttg5e,matched
ENG-GRAN-0031,"Grandeur 7.5"" EWO — Moraine (ABCD)",Grandeur,Grandeur,,15a6a2ec-8d78-48a7-8423-58dcc1b23f62,GRND75EWOMORAINE,Metropolitan,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,2,,,Smoked & Wirebrushed,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,23.32,,,,Low stock,TRUE,FALSE,,,,,,,"SALE item, marked Low Stock. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3.",,recY6cnUW5RFRcTXA,matched
ENG-GRAN-0033,"Grandeur 7.5"" EWO — Blue Mountain (ABCD)",Grandeur,Grandeur,,6d6b4916-ec07-48a1-89d8-d2e107070a57,GRND75EWOBLUEMOUNTAIN,Metropolitan,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,2,,,Smoked & Wirebrushed,T&G,,,,,,,,,,3.99,4.99,6.89,,3.99,2026-09-30,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,SALE item. No regular equivalent in this collection -> Cost/unit=SALE price per Sale rule 3.,,rec7aTuiDyoHjwL4b,matched
ENG-GRAN-0035,"Grandeur 7.5"" HIC — Alpine (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6109aac9,GRND75NAHALPINE,Elevation,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,7.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,rec4RaOUxSDdqk4y1,matched
ENG-GRAN-0036,"Grandeur 7.5"" HIC — Crown (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6133d236,GRND75NAHCROWN,Elevation,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,7.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recFRBe7ZXGsGytJl,matched
ENG-GRAN-0037,"Grandeur 7.5"" HIC — Icefall (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b618c2b12,GRND75NAHICEFALL,Elevation,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,7.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recP7eLGk09wpbfq1,matched
ENG-GRAN-0038,"Grandeur 7.5"" HIC — Summit (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b61e688ac,GRND75NAHSUMMIT,Elevation,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,7.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recYO5qwzXD7gUVlZ,matched
ENG-GRAN-0040,"Grandeur 7.5"" HIC — Nimbus (ABCD)",Grandeur,Grandeur,,10a44829-7326-45a8-8704-b35c3011ba01,GRND75NAHNIMBUS,Elevation,Flooring,Engineered hardwood,Hardwood plywood,North American Hickory,,Character,,7.5,19.05,,2,,,Wirebrushed & Hand Scraped,T&G,,,,,,,,,,4.89,5.89,7.49,,2.99,2026-09-30,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,SALE item. Regular Cost/unit ($4.89) pulled from Alpine/Crown/Icefall/Summit in same collection/specs per Sale rule 1; SALE price $2.99 stored as Promo cost.,,recHlRL08VZ8w7xEd,matched
ENG-GRAN-0041,"Grandeur 7.5"" MPL — Aries (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b61fca894,GRND75HMARIES,Divine,Flooring,Engineered hardwood,Hardwood plywood,Hard Maple,,Character,,7.5,19.05,,2,,,Hand Scraped & Distressed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,25.77,,,,,TRUE,FALSE,,,,,,,Made in Vietnam (per supplier price list).,,recWW2Mx383ZKkK8I,matched
ENG-GRAN-0042,"Grandeur 7.5"" MPL — Leo (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6211d1c9,GRND75HMLEO,Divine,Flooring,Engineered hardwood,Hardwood plywood,Hard Maple,,Character,,7.5,19.05,,2,,,Hand Scraped & Distressed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,25.77,,,,,TRUE,FALSE,,,,,,,Made in Vietnam (per supplier price list).,,recmbZW4KfgIiDhwt,matched
ENG-GRAN-0043,"Grandeur 7.5"" MPL — Libra (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6226c360,GRND75HMLIBRA,Divine,Flooring,Engineered hardwood,Hardwood plywood,Hard Maple,,Character,,7.5,19.05,,2,,,Hand Scraped & Distressed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,25.77,,,,,TRUE,FALSE,,,,,,,Made in Vietnam (per supplier price list).,,rech5HHte9DpIc1FJ,matched
ENG-GRAN-0044,"Grandeur 7.5"" MPL — Taurus (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6257f2a5,GRND75HMTAURUS,Divine,Flooring,Engineered hardwood,Hardwood plywood,Hard Maple,,Character,,7.5,19.05,,2,,,Hand Scraped & Distressed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,25.77,,,,,TRUE,FALSE,,,,,,,Made in Vietnam (per supplier price list).,,recPLxBPuIp4ShUzV,matched
ENG-GRAN-0045,"Grandeur 7.5"" MPL — Scorpio (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6243683e,GRND75HMSCORPIO,Divine,Flooring,Engineered hardwood,Hardwood plywood,Hard Maple,,Character,,7.5,19.05,,2,,,Hand Scraped & Distressed,T&G,,,,,,,,,,4.89,5.89,7.49,,,,,2026-09-01,Cowork,25.77,,,,,TRUE,FALSE,,,,,,,Made in Vietnam (per supplier price list).,,reczw6QoXkdGMIpcH,matched
ENG-GRAN-0046,"Grandeur 7.5"" MPL — Thunder Cloud (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b626fc2c5,GRND75HMTHUNDERCLOUD,Divine,Flooring,Engineered hardwood,Hardwood plywood,Hard Maple,,Character,,7.5,19.05,,2,,,Hand Scraped & Distressed,T&G,,,,,,,,,,4.89,5.89,7.49,,3.99,2026-09-30,,2026-09-01,Cowork,25.77,,,,,TRUE,FALSE,,,,,,,Made in Vietnam. SALE item. Regular Cost/unit ($4.89) pulled from same collection/specs per Sale rule 1; SALE price $3.99 stored as Promo cost.,,recW9DF0ONezbBXT3,matched
ENG-GRAN-0047,"Grandeur 7.5"" EWO — Cliff (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b63b07cb4,GRND75EWOCLIFF,Enterprise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Saw Marked,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recccHtX6HCdB3hgc,matched
ENG-GRAN-0048,"Grandeur 7.5"" EWO — Petrichor (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6bceaf92,GRND75EWOPETRICHOR,Enterprise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Saw Marked,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recrDEm9SKKDRdH0S,matched
ENG-GRAN-0049,"Grandeur 7.5"" EWO — Stratus (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6cb0f2a1,GRND75EWOSTRATUS,Enterprise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Saw Marked,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,rec2Nw4bOwpYj4pB2,matched
ENG-GRAN-0050,"Grandeur 7.5"" EWO — Lagom (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6aeba2b8,GRND75EWOLAGOM,Enterprise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,reccc1KaMtXjAZUgq,matched
ENG-GRAN-0051,"Grandeur 7.5"" EWO — Nordic Sand (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6bb5fa1a,GRND75EWONORDICSAND,Enterprise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recU1iy6tJ8UCHeND,matched
ENG-GRAN-0052,"Grandeur 7.5"" EWO — Pando (ABCD)",Grandeur,Grandeur,,7f10b490-b11d-4b8a-8e59-f5287afebce8,GRND75EWOPANDO,Enterprise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recfr7LFYZ6SGI54n,matched
ENG-GRAN-0053,"Grandeur 7.5"" EWO — Tundra (ABCD)",Grandeur,Grandeur,,367bd8a8-1208-4179-8636-da9581066c56,GRND75EWOTUNDRA,Enterprise,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recioIeirkqlQufUk,matched
ENG-GRAN-0054,"Grandeur 7.5"" EWO — Kings Landing (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6ab8bc59,GRND75EWOKINGSLANDING,Crownland,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Saw Marked,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,recvWKnECA0TM1IMi,matched
ENG-GRAN-0055,"Grandeur 7.5"" EWO — Sunspear (ABCD)",Grandeur,Grandeur,,0a6f6e36-8b89-11eb-f3d6-7e8b6ccbd9e8,GRND75EWOSUNSPEAR,Crownland,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Character,,7.5,19.05,,3,,,Smoked & Saw Marked,T&G,,,,,,,,,,5.89,6.89,8.49,,,,,2026-09-01,Cowork,23.32,,,,,TRUE,FALSE,,,,,,,,,rec8DD6k0xiTO1EOL,matched
ENG-GRAN-0056,"Grandeur 5"" EWO — Lagom HB (ABC)",Grandeur,Grandeur,,b0a10424-5180-44ca-b723-56287f9a7eb4,GRND5EWOLAGOMHB,Herringbone,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,Herringbone,5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,9.7,,,,,TRUE,FALSE,,,,,,,,,recvO3jbq9ZxWaDKp,matched
ENG-GRAN-0057,"Grandeur 5"" EWO — Nordic Sand HB (ABC)",Grandeur,Grandeur,,b5435607-932a-4edd-8928-c0f3a7a1b1b9,GRND5EWONORDICSANDHB,Herringbone,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,Herringbone,5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,9.7,,,,,TRUE,FALSE,,,,,,,,,recl4vvGDFjjQp4wT,matched
ENG-GRAN-0058,"Grandeur 5"" EWO — Pando HB (ABC)",Grandeur,Grandeur,,ba8ac852-510a-4c92-bc61-07388c06623f,GRND5EWOPANDOHB,Herringbone,Flooring,Engineered hardwood,Hardwood plywood,European White Oak,,Select,Herringbone,5,19.05,,3,,,Smoked & Wirebrushed,T&G,,,,,,,,,,6.09,7.09,8.69,,,,,2026-09-01,Cowork,9.7,,,,,TRUE,FALSE,,,,,,,,,recHby5PmGX4EcM9R,matched
