id,handle,sku,composite_1,composite_2,composite_3,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_2_name,variant_option_2_value,variant_option_3_name,variant_option_3_value,tags,supply_price,retail_price,loyalty_1,loyalty_2,account_1,account_2,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_TitanFlooring,inv_1,inv_2,inv_3
,GRACITALIANSERIESVSG03GLOSSY,TIL-GRAC-0133,,,,GRACTIL - Italian Series (VSG-03),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*24 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 24 - 16.00sf/b,,,,,,1.99,2.99,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSG03GLOSSY,TIL-GRAC-0140,,,,GRACTIL - Italian Series (VSG-03),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 48 - 16.00sf/b,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSI01GLOSSY,TIL-GRAC-0134,,,,GRACTIL - Italian Series (VSI-01),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*24 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 24 - 16.00sf/b,,,,,,1.99,2.99,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSI01GLOSSY,TIL-GRAC-0141,,,,GRACTIL - Italian Series (VSI-01),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 48 - 16.00sf/b,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK01GLOSSY,TIL-GRAC-0135,,,,GRACTIL - Italian Series (VSK-01),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*24 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 24 - 16.00sf/b,,,,,,1.99,2.99,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK01GLOSSY,TIL-GRAC-0142,,,,GRACTIL - Italian Series (VSK-01),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 48 - 16.00sf/b,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK01MATTMATTE,TIL-GRAC-0147,,,,GRACTIL - Italian Series (VSK-01 Matt) | 24 x 48 | Matte - 16.00sf/b,"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,,,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK02GLOSSY,TIL-GRAC-0136,,,,GRACTIL - Italian Series (VSK-02),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*24 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 24 - 16.00sf/b,,,,,,1.99,2.99,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK02GLOSSY,TIL-GRAC-0143,,,,GRACTIL - Italian Series (VSK-02),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 48 - 16.00sf/b,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK02MATTMATTE,TIL-GRAC-0148,,,,GRACTIL - Italian Series (VSK-02 Matt) | 24 x 48 | Matte - 16.00sf/b,"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,,,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK03GLOSSY,TIL-GRAC-0137,,,,GRACTIL - Italian Series (VSK-03),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*24 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 24 - 16.00sf/b,,,,,,1.99,2.99,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK03GLOSSY,TIL-GRAC-0144,,,,GRACTIL - Italian Series (VSK-03),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 48 - 16.00sf/b,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSK03MATTMATTE,TIL-GRAC-0149,,,,GRACTIL - Italian Series (VSK-03 Matt) | 24 x 48 | Matte - 16.00sf/b,"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,,,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSW01GLOSSY,TIL-GRAC-0138,,,,GRACTIL - Italian Series (VSW-01),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*24 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 24 - 16.00sf/b,,,,,,1.99,2.99,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSW01GLOSSY,TIL-GRAC-0145,,,,GRACTIL - Italian Series (VSW-01),"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,Size,24 x 48 - 16.00sf/b,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACITALIANSERIESVSW03GLOSSY,TIL-GRAC-0146,,,,GRACTIL - Italian Series (VSW-03) | 24 x 48 | Glossy - 16.00sf/b,"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""TILES 24*48 - ITALIAN SERIES(GLOSSY)"".",FLOORING / TILE,,,,,,,,2.19,3.19,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACTILES1219MATTE,TIL-GRAC-0239,,,,GRACTIL - Tiles (1219) | 24 x 48 | Matte - 16.00sf/b,"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""MATTE FINISH 248*48"". Header prints ""248*48"" - read as a typo for 24*48 (prices match the 24*48 group).",FLOORING / TILE,,,,,,,,1.89,2.89,,,,,Gracious,Gracious,,1,1,Default Tax,,,
,GRACTILES1221MATTE,TIL-GRAC-0240,,,,GRACTIL - Tiles (1221) | 24 x 48 | Matte - 16.00sf/b,"Box size (sf): 16.00 | Salesperson notes: NEW SUPPLIER - first ingest 2026-09-09, not yet imported. Cost basis: the single printed price is Titan's dealer cost, no multiplier (Albert, 2026-09-09: ""Store Price is Dealer Cost""). No MSRP/suggested-retail column is published. Retail = Cost + $1.00 (global default) - the CIF (+$2 tile / +$5 mosaic) and Olympia tile markups are documented as supplier-specific and were NOT applied here; confirm the tile markup with Albert. No effective date printed anywhere on the list; email date 2026-06-30 used as Last price update. Supplier recorded as Gracious per Albert (the flooring sheet's own header reads ""AMAZING FLOORING""). Material type not stated on the price list - left blank; confirm porcelain vs ceramic. Printed section header: ""MATTE FINISH 248*48"". Header prints ""248*48"" - read as a typo for 24*48 (prices match the 24*48 group).",FLOORING / TILE,,,,,,,,1.89,2.89,,,,,Gracious,Gracious,,1,1,Default Tax,,,
