supplier,sku,change,promo_end_date,promo_cost,regular_cost,before,after,action_id
BELLA FLOORING PLUS,LVP-NRTH-0002,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Athabasca) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Athabasca) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-2bbf6f838af5
BELLA FLOORING PLUS,LVP-NRTH-0002,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-c13fa9154f99
BELLA FLOORING PLUS,LVP-NRTH-0003,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Banff) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Banff) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-3a3413f89aa9
BELLA FLOORING PLUS,LVP-NRTH-0003,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-8878aa0328dd
BELLA FLOORING PLUS,LVP-NRTH-0004,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Hoover) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Hoover) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-4646a28315ad
BELLA FLOORING PLUS,LVP-NRTH-0004,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-d243807c9bbb
BELLA FLOORING PLUS,LVP-NRTH-0005,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Azure Sky) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Azure Sky) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-6bb0cb7e7662
BELLA FLOORING PLUS,LVP-NRTH-0005,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-560de7fe07f0
BELLA FLOORING PLUS,LVP-NRTH-0006,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Dusty Diamond) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Dusty Diamond) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-e4202b3ef1cd
BELLA FLOORING PLUS,LVP-NRTH-0006,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-b874c12a891f
BELLA FLOORING PLUS,LVP-NRTH-0007,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Maple Fog) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Maple Fog) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-2f25175f7e92
BELLA FLOORING PLUS,LVP-NRTH-0007,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-32318a295d89
BELLA FLOORING PLUS,LVP-NRTH-0008,(P) on,(none),1.75,1.99,"NRTHLVP-SPC - 300 Series (Marbella) Click | 7.25"" x 7mm x RL - 18.01sf/b","(P) NRTHLVP-SPC - 300 Series (Marbella) Click | 7.25"" x 7mm x RL - 18.01sf/b",promo-3e89cb82e3f0
BELLA FLOORING PLUS,LVP-NRTH-0008,cost -> promo,(none),1.75,1.99,1.99,1.75,promo-bfe6f031ebba
BELLA FLOORING PLUS,LVP-NRTH-0018,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Foggy) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Foggy) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-7948db8ee70c
BELLA FLOORING PLUS,LVP-NRTH-0018,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-39648b44f9d8
BELLA FLOORING PLUS,LVP-NRTH-0019,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Bluff) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Bluff) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-70e402a84b10
BELLA FLOORING PLUS,LVP-NRTH-0019,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-f890785b453d
BELLA FLOORING PLUS,LVP-NRTH-0020,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Allure) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Allure) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-0315831a073a
BELLA FLOORING PLUS,LVP-NRTH-0020,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-650cb2115809
BELLA FLOORING PLUS,LVP-NRTH-0021,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Whispering) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Whispering) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-b467e9807c32
BELLA FLOORING PLUS,LVP-NRTH-0021,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-ca185384141d
BELLA FLOORING PLUS,LVP-NRTH-0022,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Horizon) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Horizon) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-44b69aca08e4
BELLA FLOORING PLUS,LVP-NRTH-0022,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-46575ad3b320
BELLA FLOORING PLUS,LVP-NRTH-0023,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Montana) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Montana) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-7c576b3487d3
BELLA FLOORING PLUS,LVP-NRTH-0023,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-853597591570
BELLA FLOORING PLUS,LVP-NRTH-0024,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Laurel) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Laurel) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-0b74b8551f6c
BELLA FLOORING PLUS,LVP-NRTH-0024,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-bbaf6094286b
BELLA FLOORING PLUS,LVP-NRTH-0025,(P) on,(none),2.25,2.49,"NRTHLVP-SPC - Antique Series (Reflections) Click | 7.09"" x 9mm x RL - 17.84sf/b","(P) NRTHLVP-SPC - Antique Series (Reflections) Click | 7.09"" x 9mm x RL - 17.84sf/b",promo-7e5b7d72e659
BELLA FLOORING PLUS,LVP-NRTH-0025,cost -> promo,(none),2.25,2.49,2.49,2.25,promo-af76a2d4e2b1
CANADIAN STANDARD,ENG-CANS-0001,(P) on,2026-10-31,5.29,5.79,"CANSENG - Origins Oak (Arlington) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b","(P 2026-10-31) CANSENG - Origins Oak (Arlington) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b",promo-846310a6edd1
CANADIAN STANDARD,ENG-CANS-0001,cost -> promo,2026-10-31,5.29,5.79,5.79,5.29,promo-f344092e25a4
CANADIAN STANDARD,ENG-CANS-0002,(P) on,2026-10-31,5.29,5.79,"CANSENG - Origins Oak (Mckinney) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b","(P 2026-10-31) CANSENG - Origins Oak (Mckinney) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b",promo-3d3fe1cc9574
CANADIAN STANDARD,ENG-CANS-0002,cost -> promo,2026-10-31,5.29,5.79,5.79,5.29,promo-5f62e1e69195
CANADIAN STANDARD,ENG-CANS-0003,(P) on,2026-10-31,5.29,5.79,"CANSENG - Origins Oak (Nashville) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b","(P 2026-10-31) CANSENG - Origins Oak (Nashville) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b",promo-78bac318d721
CANADIAN STANDARD,ENG-CANS-0003,cost -> promo,2026-10-31,5.29,5.79,5.79,5.29,promo-ab40ecf87412
CANADIAN STANDARD,ENG-CANS-0004,(P) on,2026-10-31,5.29,5.79,"CANSENG - Origins Oak (Quincy) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b","(P 2026-10-31) CANSENG - Origins Oak (Quincy) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b",promo-5688d0fd355e
CANADIAN STANDARD,ENG-CANS-0004,cost -> promo,2026-10-31,5.29,5.79,5.79,5.29,promo-25ad0969edc6
CANADIAN STANDARD,ENG-CANS-0005,(P) on,2026-10-31,5.29,5.79,"CANSENG - Origins Oak (Wrenwood) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b","(P 2026-10-31) CANSENG - Origins Oak (Wrenwood) T&G | 6.5"" x 19.05mm x RL - 4mm top - 20.25sf/b",promo-31468d553c5c
CANADIAN STANDARD,ENG-CANS-0005,cost -> promo,2026-10-31,5.29,5.79,5.79,5.29,promo-10a3c47deb64
CANADIAN STANDARD,ENG-CANS-0006,(P) on,2026-10-31,4.99,5.39,"CANSENG - LUCID 6"" Engineered Planks American Oak (Calm) | 6.5"" x 19.05mm x RL - 20.25sf/b","(P 2026-10-31) CANSENG - LUCID 6"" Engineered Planks American Oak (Calm) | 6.5"" x 19.05mm x RL - 20.25sf/b",promo-ced2f1b54d04
CANADIAN STANDARD,ENG-CANS-0006,cost -> promo,2026-10-31,4.99,5.39,5.39,4.99,promo-a1834e12fdab
CANADIAN STANDARD,ENG-CANS-0007,(P) on,2026-10-31,4.99,5.39,"CANSENG - LUCID 6"" Engineered Planks American Oak (Enhance) | 6.5"" x 19.05mm x RL - 20.25sf/b","(P 2026-10-31) CANSENG - LUCID 6"" Engineered Planks American Oak (Enhance) | 6.5"" x 19.05mm x RL - 20.25sf/b",promo-04ef2485de49
CANADIAN STANDARD,ENG-CANS-0007,cost -> promo,2026-10-31,4.99,5.39,5.39,4.99,promo-c3d14b33e0ab
CANADIAN STANDARD,ENG-CANS-0008,(P) on,2026-10-31,4.99,5.39,"CANSENG - LUCID 6"" Engineered Planks American Oak (Senses) | 6.5"" x 19.05mm x RL - 20.25sf/b","(P 2026-10-31) CANSENG - LUCID 6"" Engineered Planks American Oak (Senses) | 6.5"" x 19.05mm x RL - 20.25sf/b",promo-6467e3bd9545
CANADIAN STANDARD,ENG-CANS-0008,cost -> promo,2026-10-31,4.99,5.39,5.39,4.99,promo-672004d918d6
CANADIAN STANDARD,ENG-CANS-0009,(P) on,2026-10-31,4.99,5.69,"CANSENG - LUCID 6"" Engineered Herringbone American Oak (Soothe) | 5"" x 19.05mm x RL - 20.03sf/b","(P 2026-10-31) CANSENG - LUCID 6"" Engineered Herringbone American Oak (Soothe) | 5"" x 19.05mm x RL - 20.03sf/b",promo-798060441448
CANADIAN STANDARD,ENG-CANS-0009,cost -> promo,2026-10-31,4.99,5.69,5.69,4.99,promo-c26f226439d0
CANADIAN STANDARD,ENG-CANS-0010,(P) on,2026-10-31,4.99,5.69,"CANSENG - LUCID 6"" Engineered Herringbone American Oak (Tranquil) | 5"" x 19.05mm x RL - 20.03sf/b","(P 2026-10-31) CANSENG - LUCID 6"" Engineered Herringbone American Oak (Tranquil) | 5"" x 19.05mm x RL - 20.03sf/b",promo-927ed549ba01
CANADIAN STANDARD,ENG-CANS-0010,cost -> promo,2026-10-31,4.99,5.69,5.69,4.99,promo-6425db6f5ec9
CANADIAN STANDARD,ENG-CANS-0011,(P) on,2026-10-31,5.39,6.59,"CANSENG - LUCID 7"" Engineered Planks American Oak (Bare) | 7.5"" x 19.05mm x RL - 23.32sf/b","(P 2026-10-31) CANSENG - LUCID 7"" Engineered Planks American Oak (Bare) | 7.5"" x 19.05mm x RL - 23.32sf/b",promo-7cd572e51d4b
CANADIAN STANDARD,ENG-CANS-0011,cost -> promo,2026-10-31,5.39,6.59,6.59,5.39,promo-a5374e6b185c
CANADIAN STANDARD,ENG-CANS-0012,(P) on,2026-10-31,5.39,6.59,"CANSENG - LUCID 7"" Engineered Planks American Oak (Essence) | 7.5"" x 19.05mm x RL - 23.32sf/b","(P 2026-10-31) CANSENG - LUCID 7"" Engineered Planks American Oak (Essence) | 7.5"" x 19.05mm x RL - 23.32sf/b",promo-9a6a5f34a9d0
CANADIAN STANDARD,ENG-CANS-0012,cost -> promo,2026-10-31,5.39,6.59,6.59,5.39,promo-9e48d984cdf2
CANADIAN STANDARD,ENG-CANS-0013,(P) on,2026-10-31,5.39,6.59,"CANSENG - LUCID 7"" Engineered Planks American Oak (Nature) | 7.5"" x 19.05mm x RL - 23.32sf/b","(P 2026-10-31) CANSENG - LUCID 7"" Engineered Planks American Oak (Nature) | 7.5"" x 19.05mm x RL - 23.32sf/b",promo-8b80a9c269e4
CANADIAN STANDARD,ENG-CANS-0013,cost -> promo,2026-10-31,5.39,6.59,6.59,5.39,promo-53a09f8f05b9
CANADIAN STANDARD,ENG-CANS-0014,(P) on,2026-10-31,5.69,6.89,"CANSENG - LUCID 7"" Engineered Herringbone American Oak (Pristine) | 6"" x 19.05mm x RL - 17.87sf/b","(P 2026-10-31) CANSENG - LUCID 7"" Engineered Herringbone American Oak (Pristine) | 6"" x 19.05mm x RL - 17.87sf/b",promo-53a668f58694
CANADIAN STANDARD,ENG-CANS-0014,cost -> promo,2026-10-31,5.69,6.89,6.89,5.69,promo-aa451de3739b
CANADIAN STANDARD,ENG-CANS-0015,(P) on,2026-10-31,5.69,6.89,"CANSENG - LUCID 7"" Engineered Herringbone American Oak (Pure) | 6"" x 19.05mm x RL - 17.87sf/b","(P 2026-10-31) CANSENG - LUCID 7"" Engineered Herringbone American Oak (Pure) | 6"" x 19.05mm x RL - 17.87sf/b",promo-89ca88af9fc8
CANADIAN STANDARD,ENG-CANS-0015,cost -> promo,2026-10-31,5.69,6.89,6.89,5.69,promo-66fd2dff0f09
CANADIAN STANDARD,ENG-CANS-0050,(P) on,2026-10-31,3.99,4.79,"CANSENG - Origins European Oak (Planetary Silver) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b","(P 2026-10-31) CANSENG - Origins European Oak (Planetary Silver) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b",promo-82a93f75ca15
CANADIAN STANDARD,ENG-CANS-0050,cost -> promo,2026-10-31,3.99,4.79,4.79,3.99,promo-3b0d2754ac2b
CANADIAN STANDARD,ENG-CANS-0053,(P) on,2026-10-31,3.99,4.79,"CANSENG - Origins European Oak (Subtle White) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b","(P 2026-10-31) CANSENG - Origins European Oak (Subtle White) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b",promo-24928b42a75d
CANADIAN STANDARD,ENG-CANS-0053,cost -> promo,2026-10-31,3.99,4.79,4.79,3.99,promo-797c741f7b3a
CANADIAN STANDARD,ENG-CANS-0054,(P) on,2026-10-31,3.99,4.79,"CANSENG - Origins American Hickory (Forest Trail) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b","(P 2026-10-31) CANSENG - Origins American Hickory (Forest Trail) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b",promo-2f30de176041
CANADIAN STANDARD,ENG-CANS-0054,cost -> promo,2026-10-31,3.99,4.79,4.79,3.99,promo-98fa40c0b5ba
CANADIAN STANDARD,ENG-CANS-0055,(P) on,2026-10-31,3.99,4.79,"CANSENG - Origins American Hickory (Greysmith) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b","(P 2026-10-31) CANSENG - Origins American Hickory (Greysmith) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b",promo-ecd9cc890186
CANADIAN STANDARD,ENG-CANS-0055,cost -> promo,2026-10-31,3.99,4.79,4.79,3.99,promo-216be2166ba0
CANADIAN STANDARD,ENG-CANS-0056,(P) on,2026-10-31,3.99,4.79,"CANSENG - Origins American Hickory (Nottingham) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b","(P 2026-10-31) CANSENG - Origins American Hickory (Nottingham) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b",promo-8c900ddce6f0
CANADIAN STANDARD,ENG-CANS-0056,cost -> promo,2026-10-31,3.99,4.79,4.79,3.99,promo-deae3e89ebdf
CANADIAN STANDARD,ENG-CANS-0057,(P) on,2026-10-31,3.99,4.79,"CANSENG - Origins American Hickory (Warm Heritage) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b","(P 2026-10-31) CANSENG - Origins American Hickory (Warm Heritage) T&G | 6.5"" x 19.05mm x RL - 19.40sf/b",promo-6b4b103a5afd
CANADIAN STANDARD,ENG-CANS-0057,cost -> promo,2026-10-31,3.99,4.79,4.79,3.99,promo-7afb466087a7
CANADIAN STANDARD,ENG-CANS-0079,(P) on,2026-10-31,3.69,3.89,"CANSENG - Engineered Click Hickory (Morro Bay) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Hickory (Morro Bay) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-5a6e32d37ff9
CANADIAN STANDARD,ENG-CANS-0079,cost -> promo,2026-10-31,3.69,3.89,3.89,3.69,promo-aecb03ca330c
CANADIAN STANDARD,ENG-CANS-0080,(P) on,2026-10-31,3.69,3.89,"CANSENG - Engineered Click Hickory (Ventura) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Hickory (Ventura) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-acf8ad8c4818
CANADIAN STANDARD,ENG-CANS-0080,cost -> promo,2026-10-31,3.69,3.89,3.89,3.69,promo-aaa486236a70
CANADIAN STANDARD,ENG-CANS-0081,(P) on,2026-10-31,3.69,3.89,"CANSENG - Engineered Click Hickory (Great Sur) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Hickory (Great Sur) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-26f47f6c2e0b
CANADIAN STANDARD,ENG-CANS-0081,cost -> promo,2026-10-31,3.69,3.89,3.89,3.69,promo-799c5ee67620
CANADIAN STANDARD,ENG-CANS-0082,(P) on,2026-10-31,3.69,3.89,"CANSENG - Engineered Click Hickory (Summerland) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Hickory (Summerland) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-0e88ec6c2496
CANADIAN STANDARD,ENG-CANS-0082,cost -> promo,2026-10-31,3.69,3.89,3.89,3.69,promo-abdf9c7a388e
CANADIAN STANDARD,ENG-CANS-0083,(P) on,2026-10-31,3.69,3.89,"CANSENG - Engineered Click Hickory (Baywood) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Hickory (Baywood) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-ceeb77af8797
CANADIAN STANDARD,ENG-CANS-0083,cost -> promo,2026-10-31,3.69,3.89,3.89,3.69,promo-a5ab1666e71b
CANADIAN STANDARD,ENG-CANS-0084,(P) on,2026-10-31,3.69,3.89,"CANSENG - Engineered Click Hickory (Sausalito) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Hickory (Sausalito) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-e6da2aee0fd8
CANADIAN STANDARD,ENG-CANS-0084,cost -> promo,2026-10-31,3.69,3.89,3.89,3.69,promo-b636366bec6b
CANADIAN STANDARD,ENG-CANS-0085,(P) on,2026-10-31,3.59,3.79,"CANSENG - Engineered Click Oak (Moss Landing) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Oak (Moss Landing) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-e63a6099b214
CANADIAN STANDARD,ENG-CANS-0085,cost -> promo,2026-10-31,3.59,3.79,3.79,3.59,promo-bc8c8d8dcd86
CANADIAN STANDARD,ENG-CANS-0086,(P) on,2026-10-31,3.59,3.79,"CANSENG - Engineered Click Oak (Monterey) | 6.5"" x 12.7mm x RL - 25.58sf/b","(P 2026-10-31) CANSENG - Engineered Click Oak (Monterey) | 6.5"" x 12.7mm x RL - 25.58sf/b",promo-b01fda6ca6ca
CANADIAN STANDARD,ENG-CANS-0086,cost -> promo,2026-10-31,3.59,3.79,3.79,3.59,promo-4e06f181db3d
