SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
LVP-HMPR-0007,Home's Pro Venice 6.5mm SPC — Cody,Home's Pro,HOMESPRO,HOM.669,c6e676d3-aa12-4ea5-b01d-14d4bab2f3b9,p-homvin---spc-cody-click--hom669-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Cody) Click | #HOM.669 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recjEpx3ResB3I0wr,matched
LVP-HMPR-0008,Home's Pro Venice 6.5mm SPC — Dover,Home's Pro,HOMESPRO,HOM.667,3481760e-ba3f-4153-988d-0bbebac35d64,p-homvin---spc-dove-click--hom667-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Dover) Click | #HOM.667 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,rec1dyjPKRBuFLofF,matched
LVP-HMPR-0009,Home's Pro Venice 6.5mm SPC — Gabon,Home's Pro,HOMESPRO,HOM.664,7aa21f4e-9399-43ab-b12c-7e9da3923f37,p-homvin---spc-gabon-click--hom664-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Gabon) Click | #HOM.664 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recxLsd6PZ9Z56kbk,matched
LVP-HMPR-0010,Home's Pro Venice 6.5mm SPC — Havana,Home's Pro,HOMESPRO,HOM.66B,ebbe229a-a3dd-4c86-a992-f13020f11bb3,p-homvin---spc-havana-click--hom66b-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Havana) Click | #HOM.66B |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recLRvCm2MKJ8tcUM,matched
LVP-HMPR-0011,Home's Pro Venice 6.5mm SPC — Hawaii,Home's Pro,HOMESPRO,HOM.66A,c01d07a5-3624-4e2a-bda2-8043c0231565,p-homvin---spc-hawaii-click--hom66a-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Hawaii) Click | #HOM.66A |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,rec6JVooMxz3RLM3w,matched
LVP-HMPR-0012,Home's Pro Venice 6.5mm SPC — Luka,Home's Pro,HOMESPRO,HOM.666,a8c690fb-3fc9-4430-b41b-5fe3ff2f393d,p-homvin---spc-luka-click--hom666-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Luka) Click | #HOM.666 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,rec0hXjnRAh7mHgcl,matched
LVP-HMPR-0013,Home's Pro Venice 6.5mm SPC — Maine,Home's Pro,HOMESPRO,HOM.665,14e685b0-9afb-48f3-a92a-d4d8b96a7f16,p-homvin---spc-maine-click--hom665-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Maine) Click | #HOM.665 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recFD3pG1CjQtRbb7,matched
LVP-HMPR-0014,Home's Pro Venice 6.5mm SPC — Malta,Home's Pro,HOMESPRO,HOM.663,6510870c-4b7b-416d-996c-0c433b837726,p-homvin---spc-malta-click--hom663-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Malta) Click | #HOM.663 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recnn9ysdFjQGhmFy,matched
LVP-HMPR-0015,Home's Pro Venice 6.5mm SPC — Texas (HOM.660),Home's Pro,HOMESPRO,HOM.660,cceffbf1-c444-4e3c-a959-ff21fbd68409,p-homvin---spc-alaska-click--hom660-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Texas) Click | #HOM.660 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Two live Lightspeed products carry the colour Texas (HOM.660, HOM.661); both kept, disambiguated by code in the name. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,rec3P1lSmoOcfkOog,matched
LVP-HMPR-0016,Home's Pro Venice 6.5mm SPC — Texas (HOM.661),Home's Pro,HOMESPRO,HOM.661,75940d9a-9ee7-424f-a92b-defe53645769,p-homvin---spc-texas-click--hom661-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Texas) Click | #HOM.661 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Two live Lightspeed products carry the colour Texas (HOM.660, HOM.661); both kept, disambiguated by code in the name. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,receIgN03IWOopPq7,matched
LVP-HMPR-0017,Home's Pro Venice 6.5mm SPC — Troy,Home's Pro,HOMESPRO,HOM.668,278226d5-61b9-42f7-bfe6-17a922da733a,p-homvin---spc-troy-click--hom668-----716-x-4803x-65mm-5mm15ixpe---1912sfb,Venice,Flooring,LVP,SPC core,,,,,7.16,"48.03""",6.5,20,,,,,,Float,,TRUE,IXPE,,,,,,1.68,2.68,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - VENICE - SPC (Troy) Click | #HOM.668 |  - 7.16"" x 48.03""x 6.5mm (5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recsCJlYpSiCeZEYM,matched
LVP-HMPR-0018,Home's Pro Moscow 7mm SPC — Bonjour,Home's Pro,HOMESPRO,HOM.771,4fba1984-9277-40e5-97ca-efb0be58b5a4,p-homvin---spc-bonjour-click--hom771-----716-x-4803x-7mm-55mm15ixpe---1912sfb,Moscow,Flooring,LVP,SPC core,,,,,7.16,"48.03""",7,20,,,,,,Float,,TRUE,IXPE,,,,,,1.88,2.88,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - MOSCOW - SPC (Bonjour) Click | #HOM.771 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recYcG2CjwmTaMx3n,matched
LVP-HMPR-0019,Home's Pro Moscow 7mm SPC — Hola,Home's Pro,HOMESPRO,HOM.772,19667356-2a33-4a64-b04b-c0d6874e8133,p-homvin---spc-hola-click--hom772-----716-x-4803x-7mm-55mm15ixpe---1912sfb,Moscow,Flooring,LVP,SPC core,,,,,7.16,"48.03""",7,20,,,,,,Float,,TRUE,IXPE,,,,,,1.88,2.88,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - MOSCOW - SPC (Hola) Click | #HOM.772 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,rec7FvmrUuyf1qpV7,matched
LVP-HMPR-0020,Home's Pro Moscow 7mm SPC — Marhaba,Home's Pro,HOMESPRO,HOM.773,97c5cfba-3b85-4cc8-b3a8-908b37025d62,p-homvin---spc-marhaba-click--hom773-----716-x-4803x-7mm-55mm15ixpe---1912sfb,Moscow,Flooring,LVP,SPC core,,,,,7.16,"48.03""",7,20,,,,,,Float,,TRUE,IXPE,,,,,,1.88,2.88,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - MOSCOW - SPC (Marhaba) Click | #HOM.773 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recd6Wk7hTEDvffRg,matched
LVP-HMPR-0021,Home's Pro Moscow 7mm SPC — Namaste,Home's Pro,HOMESPRO,HOM.776,5daa06f3-0276-44f4-b8dc-3b3416ef38f2,p-homvin---spc-namaste-click--hom776-----716-x-4803x-7mm-55mm15ixpe---1912sfb,Moscow,Flooring,LVP,SPC core,,,,,7.16,"48.03""",7,20,,,,,,Float,,TRUE,IXPE,,,,,,1.88,2.88,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - MOSCOW - SPC (Namaste) Click | #HOM.776 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recPEmvwqlJNxjpvN,matched
LVP-HMPR-0022,Home's Pro Moscow 7mm SPC — Salve,Home's Pro,HOMESPRO,HOM.774,4e4c4dfa-410d-4ab8-9067-de828549d4c7,p-homvin---spc-salve-click--hom774-----716-x-4803x-7mm-55mm15ixpe---1912sfb,Moscow,Flooring,LVP,SPC core,,,,,7.16,"48.03""",7,20,,,,,,Float,,TRUE,IXPE,,,,,,1.88,2.88,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - MOSCOW - SPC (Salve) Click | #HOM.774 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recQwVBEvim2JrLLT,matched
LVP-HMPR-0023,Home's Pro Moscow 7mm SPC — Shalom,Home's Pro,HOMESPRO,HOM.775,1f698aa2-1e52-4158-af1c-f06ea1d6de3e,p-homvin---spc-shalom-click--hom775-----716-x-4803x-7mm-55mm15ixpe---1912sfb,Moscow,Flooring,LVP,SPC core,,,,,7.16,"48.03""",7,20,,,,,,Float,,TRUE,IXPE,,,,,,1.88,2.88,,,,,,2026-03-02,Cowork,19.12,,,,,TRUE,TRUE,,,,,,,"Albert 2026-09-24 (PL-242 follow-up): the sheet's collection price applies to every live colour; one Airtable record per live Lightspeed colour, linked to that product; Lightspeed keeps Home's Pro's own HOM.* code as its sku, carried here as Supplier SKU. Colour and plank dimensions from the live Lightspeed product (HOMVIN - MOSCOW - SPC (Shalom) Click | #HOM.775 |  - 7.16"" x 48.03""x 7mm (5.5mm+1.5IXPE) - 19.12sf/b); the sheet prices the collection only. Cost basis confirmed by Albert 2026-09-12: the sheet's single $/sf column is cost as printed; Retail = Cost + $1.00 (global rule, not the $1.40 pattern on the live products). Home's Pro Floorings & Trims Price List, effective 2 Mar 2026 (PL-242).",,recCUDc8avOFvNEbd,matched
