SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Last price update,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus
HD-001,"Baltic Homes Engineered Oak 7.48"" (2mm top) — Timeless Manor Oak",,BALTIC HOMES,HD-001,3c02ac11-85de-4c61-b120-276806d42310,nature-eng-hardwood-timelesss-manor-oak--7-12-x-34-x-75-tg-2mm-veneer-layer-1943-sfbox,Engineered Hardwood Collection,Flooring,Engineered hardwood,,Oak,,,,7.48,1900mm,18,,2,,,,,,,,,,,,,,3.91,4.91,,,,,"Tier 1 Price $3.48/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,19.43,,50,,,TRUE,,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'ENG Oak, HD-001, 18/2 mm x190mm x1900mm'.",,rec9fLXFsZI9tZInu,matched
SPC-A16215,"Baltic Homes SPC Click 7-1/16"" — Natural Harmony",,BALTIC HOMES,SPC-A16215,ef98521b-9f3d-40ea-bdc5-6e4d65ec28e8,BALTSPC7NATURALHARMONY,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Natural Harmony, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,recrRc7GV83FEdFzy,matched
SPC-4210,"Baltic Homes SPC Click 7-1/16"" — Winter Wood",,BALTIC HOMES,SPC-4210,48c34da9-499f-40f3-81cc-7c85e2c2bcad,BALTSPC7WINTERWOOD,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Winter Wood, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,recx1V65OmxHF6CHB,matched
SPC-VN706,"Baltic Homes SPC Click 7-1/16"" — Walnut Charm",,BALTIC HOMES,SPC-VN706,fce01c64-cf95-4365-b89e-e408bcaced04,BALTSPC7WALNUTCHARM,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Walnut Charm, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,rece4H8eIiY900CGq,matched
SPC-002,"Baltic Homes SPC Click 7-1/16"" — Weathered Grey",,BALTIC HOMES,SPC-002,0e17e47b-7517-4c51-b96d-636e09df5978,BALTSPC7WEATHEREDGREY,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Weathered Grey, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,recM3rlwMbZCfIEq6,matched
SPC-005,"Baltic Homes SPC Click 7-1/16"" — Warm Sand",,BALTIC HOMES,SPC-005,f57f8695-7a4d-4d21-a1fe-23318a4b12e7,BALTSPC7WARMSAND,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Warm Sand, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,recMorORPuoh1Tu6H,matched
SPC-011,"Baltic Homes SPC Click 7-1/16"" — Pearl Wood",,BALTIC HOMES,SPC-011,c3ded48f-bc1a-42c2-8bb8-e5559f624366,BALTSPC7PEARLWOOD,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Pearl Wood, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,rec2W0BktXCUg13Lt,matched
SPC-NGW1017-6,"Baltic Homes SPC Click 7-1/16"" — Snowfall Oak",,BALTIC HOMES,SPC-NGW1017-6,9ea3ae9e-6695-46b3-84aa-a180cbc41e6e,BALTSPC7SNOWFALLOAK,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Snowfall Oak, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,recrSaGQBWoGhlm2i,matched
SPC-NGW61140-19,"Baltic Homes SPC Click 7-1/16"" — Coastal Oak",,BALTIC HOMES,SPC-NGW61140-19,da347cc4-c4aa-41f8-945e-bf8f31e33f21,BALTSPC7COASTALOAK,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Coastal Oak, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,recTbt0kcMee8Ujdp,matched
SPC-NGW61140-38,"Baltic Homes SPC Click 7-1/16"" — Desert Maple",,BALTIC HOMES,SPC-NGW61140-38,460eeb1b-d1b6-4705-a0dc-a7cb93f7139f,BALTSPC7DESERTMAPLE,Vinyl Click Collection,Flooring,LVP,SPC core,,,,,7.06,"48-1/16""",7,,,,,,Click,Float,,,,,,,,,1.70,2.70,,,,,"Tier 1 Price $1.51/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,18.91,,55,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'SPC, Click, Desert Maple, 48-1/16"" x7-1/16""x7mm, 18.91 SF/ctn'.",,rech0MN6j5V7zYbqc,matched
VL88035L-001,"Baltic Homes Loose Lay 9"" x 60"" — Rustic Oak",,BALTIC HOMES,VL88035L-001,86088bb1-13f9-4648-abe5-f0bef8df29ad,BALTLL9RUSTICOAK,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Rustic Oak, 228.6*1524*5.0mm, 22.5sf/ctn'.",,recb3yQq8vLHNQpBI,matched
VL88171L-001,"Baltic Homes Loose Lay 9"" x 60"" — Walnut Natural",,BALTIC HOMES,VL88171L-001,475c8e27-06b8-4269-865b-fc56d656b7ce,BALTLL9WALNUTNATURAL,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Walnut Natural, 228.6*1524*5.0mm, 22.5sf/ctn'.",,recsnchWHVkuGpNAI,matched
VL88259L-001,"Baltic Homes Loose Lay 9"" x 60"" — Maple Natural",,BALTIC HOMES,VL88259L-001,ba4545db-56cb-47e4-95bd-c084b9cabdce,BALTLL9MAPLENATURAL,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Maple Natural, 228.6*1524*5.0mm, 22.5sf/ctn'.",,recx988jtWsnmvD42,matched
VL88174L-001,"Baltic Homes Loose Lay 9"" x 60"" — Oak Natural",,BALTIC HOMES,VL88174L-001,198e2921-6649-4c22-9392-ffe525383f6b,BALTLL9OAKNATURAL,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Oak Natural, 228.6*1524*5.0mm, 22.5sf/ctn'.",,rec3DW6AiM4jaCGir,matched
VL88174L-003,"Baltic Homes Loose Lay 9"" x 60"" — Desert Sand Oak",,BALTIC HOMES,VL88174L-003,c3a45f9a-ee9c-414d-8c34-6d25bac5ed27,BALTLL9DESERTSANDOAK,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Desert Sand Oak, 228.6*1524*5.0mm, 22.5sf/ctn'.",,recilcCiWmfjOTU2Y,matched
VL88174L-005,"Baltic Homes Loose Lay 9"" x 60"" — Butterscotch Oak",,BALTIC HOMES,VL88174L-005,7881c468-5010-4954-af10-9d3577a8224a,BALTLL9BUTTERSCOTCHOAK,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Butterscotch Oak, 228.6*1524*5.0mm, 22.5sf/ctn'.",,recvlVF4VxiDO0a0B,matched
VL88174L-006,"Baltic Homes Loose Lay 9"" x 60"" — Spiced Oak",,BALTIC HOMES,VL88174L-006,5b6c9a01-a6be-406b-8111-3a9d371360ad,BALTLL9SPICEDOAK,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Spiced Oak, 228.6*1524*5.0mm, 22.5sf/ctn'.",,reca44dPaEsQE68i3,matched
VL88204L-001,"Baltic Homes Loose Lay 9"" x 60"" — Hickory Natural",,BALTIC HOMES,VL88204L-001,4fbc8d7d-1636-4950-8db4-94474f118c1b,BALTLL9HICKORYNATURAL,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Hickory Natural, 228.6*1524*5.0mm, 22.5sf/ctn'.",,rec1TtqvNLzrql8Gg,matched
VL88174L-007,"Baltic Homes Loose Lay 9"" x 60"" — Misty Grey Oak",,BALTIC HOMES,VL88174L-007,7497166f-3a18-46a9-a661-cd5270f1161c,BALTLL9MISTYGREYOAK,Vinyl Loose Lay Collection,Flooring,LVP,Loose-lay vinyl,,,,,9,1524mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,22.5,,60,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Misty Grey Oak, 228.6*1524*5.0mm, 22.5sf/ctn'.",,recBA1UYJeL3cjIO4,matched
VL89730-001,"Baltic Homes Loose Lay 12"" x 24"" — Slate Natural",,BALTIC HOMES,VL89730-001,c9ba5041-c300-4126-adec-569c7dcee572,BALTLL12SLATENATURAL,Vinyl Loose Lay Collection,Flooring,LVT,Loose-lay vinyl,,,,,12,609.6mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,24,,54,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Slate Natural, 304.8*609.6*5.0mm, 24sf/ctn'.",,rectx0hU8mIqQay8T,matched
VL89724-002,"Baltic Homes Loose Lay 12"" x 24"" — Carrara Marble",,BALTIC HOMES,VL89724-002,da27aee4-dfc9-45a2-9e17-98e4850d3644,BALTLL12CARRARAMARBLE,Vinyl Loose Lay Collection,Flooring,LVT,Loose-lay vinyl,,,,,12,609.6mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,24,,54,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Carrara Marble, 304.8*609.6*5.0mm, 24sf/ctn'.",,recIXIxAQVtlKagFs,matched
VL89745-006,"Baltic Homes Loose Lay 12"" x 24"" — Volcanic Rock",,BALTIC HOMES,VL89745-006,add5c4ea-239c-436a-a4d1-cd55247bc2e8,BALTLL12VOLCANICROCK,Vinyl Loose Lay Collection,Flooring,LVT,Loose-lay vinyl,,,,,12,609.6mm,5,,,,,,Loose lay,Loose lay,,,,,,,,,1.98,2.98,,,,,"Tier 1 Price $1.76/sf (sheet's lower tier; Tier 2 is cost, Albert 2026-09-24)",2026-09-24,Cowork,24,,54,,,TRUE,TRUE,,,,,,,"Supplier spec as printed (PL-170, photographed list): 'LVT Loose Lay, Volcanic Rock, 304.8*609.6*5.0mm, 24sf/ctn'.",,recXbKotNVTIocqct,matched
